CustomerID,Frequency,Monetary,Recency,MonetaryNet,ReturnRatio,Cluster,Segment,Cluster_GMM,Cluster_DBSCAN
12346.0,2,0.0,325,0.0,0.9999999999870439,2,Occasional / Newcomers,2,0
12347.0,7,4310.0,1,4310.0,-0.0,0,Active Value Buyers,3,0
12348.0,4,1797.24,74,1797.24,-0.0,0,Active Value Buyers,2,0
12349.0,1,1757.55,18,1757.55,-0.0,0,Active Value Buyers,2,0
12350.0,1,334.4,309,334.4,-0.0,2,Occasional / Newcomers,2,0
12352.0,11,1545.41,35,1545.41,0.38332588450969424,0,Active Value Buyers,3,0
12353.0,1,89.0,203,89.0,-0.0,2,Occasional / Newcomers,2,0
12354.0,1,1079.4,231,1079.4,-0.0,2,Occasional / Newcomers,2,0
12355.0,1,459.4,213,459.4,-0.0,2,Occasional / Newcomers,2,0
12356.0,3,2811.43,22,2811.43,-0.0,0,Active Value Buyers,3,0
12357.0,1,6207.67,32,6207.67,-0.0,0,Active Value Buyers,3,0
12358.0,2,1168.06,1,1168.06,-0.0,0,Active Value Buyers,2,0
12359.0,6,6245.53,7,6245.53,0.019936979995553293,0,Active Value Buyers,3,0
12360.0,3,2662.06,51,2662.06,-0.0,0,Active Value Buyers,3,0
12361.0,1,189.9,286,189.9,-0.0,2,Occasional / Newcomers,2,0
12362.0,13,5154.58,2,5154.58,0.013709691304494887,0,Active Value Buyers,3,0
12363.0,2,552.0,109,552.0,-0.0,0,Active Value Buyers,2,0
12364.0,4,1313.1,7,1313.1,-0.0,0,Active Value Buyers,2,0
12365.0,3,320.69,290,320.69,0.49999999922043104,2,Occasional / Newcomers,2,0
12367.0,1,168.9,3,168.9,-0.0,0,Active Value Buyers,2,0
12370.0,4,3545.69,50,3545.69,-0.0,0,Active Value Buyers,3,0
12371.0,2,1887.96,44,1887.96,-0.0,0,Active Value Buyers,2,0
12372.0,3,1298.04,71,1298.04,-0.0,0,Active Value Buyers,2,0
12373.0,1,364.6,310,364.6,-0.0,2,Occasional / Newcomers,2,0
12374.0,1,742.9300000000001,24,742.9300000000001,-0.0,0,Active Value Buyers,2,0
12375.0,3,455.42,2,455.42,0.004546448077494103,0,Active Value Buyers,2,0
12377.0,2,1628.12,314,1628.12,-0.0,2,Occasional / Newcomers,2,0
12378.0,1,4008.62,129,4008.62,-0.0,0,Active Value Buyers,3,0
12379.0,3,850.29,81,850.29,0.00228808785988913,0,Active Value Buyers,2,0
12380.0,5,2720.56,21,2720.56,0.0015597417795883961,0,Active Value Buyers,2,0
12381.0,6,1803.96,4,1803.96,0.022408159050561604,0,Active Value Buyers,2,0
12383.0,6,1839.31,184,1839.31,0.006079240875151715,2,Occasional / Newcomers,2,0
12384.0,3,566.16,28,566.16,0.0326515966431705,0,Active Value Buyers,2,0
12386.0,2,401.9,337,401.9,-0.0,2,Occasional / Newcomers,2,0
12388.0,6,2780.66,15,2780.66,-0.0,0,Active Value Buyers,2,0
12390.0,1,549.84,79,549.84,-0.0,0,Active Value Buyers,2,0
12391.0,1,460.89,21,460.89,-0.0,0,Active Value Buyers,2,0
12393.0,4,1582.6000000000001,71,1582.6000000000001,-0.0,0,Active Value Buyers,2,0
12394.0,2,1272.48,63,1272.48,-0.0,0,Active Value Buyers,2,0
12395.0,15,2998.28,15,2998.28,0.00674146880977746,0,Active Value Buyers,3,0
12397.0,2,2409.9,35,2409.9,-0.0,0,Active Value Buyers,3,0
12398.0,1,1635.6599999999999,45,1635.6599999999999,-0.0,0,Active Value Buyers,2,0
12399.0,4,1108.65,118,1108.65,-0.0,0,Active Value Buyers,2,0
12401.0,1,84.3,302,84.3,-0.0,2,Occasional / Newcomers,2,0
12402.0,1,225.6,322,225.6,-0.0,2,Occasional / Newcomers,2,0
12403.0,2,409.7,49,409.7,0.042085573902067866,0,Active Value Buyers,2,0
12405.0,1,1710.39,148,1710.39,-0.0,2,Occasional / Newcomers,2,0
12406.0,3,3280.75,21,3280.75,0.03939624629186419,0,Active Value Buyers,3,0
12407.0,5,1708.1200000000001,49,1708.1200000000001,-0.0,0,Active Value Buyers,2,0
12408.0,9,2842.57,32,2842.57,0.01591802114697062,0,Active Value Buyers,2,0
12409.0,7,11056.93,78,11056.93,0.0014215180257858748,0,Active Value Buyers,3,0
12410.0,3,681.0799999999999,300,681.0799999999999,0.017668354149296364,2,Occasional / Newcomers,2,0
12412.0,3,1226.88,74,1226.88,-0.0,0,Active Value Buyers,2,0
12413.0,5,694.15,66,694.15,0.08435562579560002,0,Active Value Buyers,2,0
12414.0,3,562.41,216,562.41,-0.0,2,Occasional / Newcomers,2,0
12415.0,26,123725.45,23,123725.45,0.009519148813116303,1,Loyal Big Spenders,3,-1
12417.0,12,3578.8,2,3578.8,0.01926502424727603,0,Active Value Buyers,3,0
12418.0,1,668.58,112,668.58,-0.0,0,Active Value Buyers,2,0
12420.0,1,600.39,63,600.39,-0.0,0,Active Value Buyers,2,0
12421.0,5,806.27,15,806.27,0.0009541038846226904,0,Active Value Buyers,2,0
12422.0,3,803.5600000000001,95,803.5600000000001,-0.0,0,Active Value Buyers,2,0
12423.0,9,1849.11,0,1849.11,0.005485906058975691,0,Active Value Buyers,2,0
12424.0,2,1760.96,162,1760.96,-0.0,2,Occasional / Newcomers,2,0
12425.0,1,777.2,77,777.2,-0.0,0,Active Value Buyers,2,0
12426.0,1,582.73,194,582.73,-0.0,2,Occasional / Newcomers,2,0
12427.0,5,708.37,11,708.37,0.14220150140203258,0,Active Value Buyers,2,0
12428.0,12,7877.2,25,7877.2,0.009961716641576567,0,Active Value Buyers,3,0
12429.0,4,3750.4,8,3750.4,-0.0,0,Active Value Buyers,3,0
12430.0,1,256.4,42,256.4,-0.0,0,Active Value Buyers,2,0
12431.0,18,6416.39,35,6416.39,0.010953456286992045,0,Active Value Buyers,3,0
12432.0,5,5059.32,42,5059.32,-0.0,0,Active Value Buyers,3,0
12433.0,7,13375.87,0,13375.87,-0.0,0,Active Value Buyers,3,0
12434.0,4,765.19,84,765.19,0.05079762814052444,0,Active Value Buyers,2,0
12435.0,2,7829.89,79,7829.89,-0.0,0,Active Value Buyers,3,0
12436.0,1,509.01,99,509.01,-0.0,0,Active Value Buyers,2,0
12437.0,19,4896.66,1,4896.66,0.011057456358682181,0,Active Value Buyers,3,0
12438.0,2,2906.85,13,2906.85,-0.0,0,Active Value Buyers,3,0
12441.0,1,173.55,366,173.55,-0.0,2,Occasional / Newcomers,2,0
12442.0,1,172.06,2,172.06,-0.0,0,Active Value Buyers,2,0
12444.0,5,5005.46,20,5005.46,-0.0,0,Active Value Buyers,3,0
12445.0,1,133.4,21,133.4,-0.0,0,Active Value Buyers,2,0
12446.0,1,1002.3100000000001,57,1002.3100000000001,-0.0,0,Active Value Buyers,2,0
12447.0,1,476.49,242,476.49,-0.0,2,Occasional / Newcomers,2,0
12448.0,1,449.45,43,449.45,-0.0,0,Active Value Buyers,2,0
12449.0,4,4067.29,21,4067.29,-0.0,0,Active Value Buyers,3,0
12450.0,2,197.88,155,197.88,-0.0,2,Occasional / Newcomers,2,0
12451.0,6,8933.52,10,8933.52,0.01128878027924361,0,Active Value Buyers,3,0
12452.0,3,428.57,16,428.57,0.004645005447093375,0,Active Value Buyers,2,0
12453.0,1,707.09,133,707.09,-0.0,0,Active Value Buyers,2,0
12454.0,2,5.684341886080802e-14,52,5.684341886080802e-14,0.9999999997165805,0,Active Value Buyers,2,0
12455.0,6,2466.86,72,2466.86,-0.0,0,Active Value Buyers,2,0
12456.0,4,3153.89,43,3153.89,0.008534944543754575,0,Active Value Buyers,3,0
12457.0,12,1917.78,57,1917.78,0.188492021433169,0,Active Value Buyers,3,0
12458.0,2,947.4,70,947.4,-0.0,0,Active Value Buyers,2,0
